PID,Cycle,Category,PI Last,PI First,PI Title,Gender,PI Country,PI Institution,Orbits,N People,Size,Science Category,Title,
15490,26,GO,Karkoschka,Erich,Dr.,male,USA,University of Arizona,1,1,SMALL,Solar System,Titan at Opposite Seasons Using STIS Image Cubes,
15491,26,GO,Bedin,Luigi,Dr.,male,ITA,Osservatorio Astronomico di Padova,40,12,LARGE,Stellar Populations,The end of the White Dwarf Cooling Sequence of NGC 6752,
15492,26,GO,Kavelaars,J.,Dr.,male,CAN,National Research Council of Canada,4,7,SMALL,Solar System,Enabling physical studeis of the Kuiper belt via HST tracking observations of close fly-by targets for the New Horizons spacecraft.,
15493,26,GO,Buie,Marc,Dr.,male,USA,Southwest Research Institute,6,14,SMALL,Solar System,Astrometry of 2014MU69 for New Horizons encounter,
15494,26,GO,Xu,Siyi,Dr.,female,USA,"Gemini Observatory, Northern Operations",12,12,SMALL,Planets and Planet Formation,Actively Disintegrating Astroids around a White Dwarf,
15495,26,GO,Meyer,Eileen,Dr.,female,USA,University of Maryland Baltimore County,3,8,SMALL,Massive Black Holes and their Hosts,An HST proper-motion and spectral study of the optical jet in 4C +00.58,
15496,26,GO,Blanchard,Peter,Mr.,male,USA,Harvard University,6,3,SMALL,Stellar Physics,Constraining the Late-Time Light Curve Behavior of Three Diverse Superluminous Supernovae,
15497,26,GO,Millar-Blanchaer,Maxwell,Dr.,male,USA,Jet Propulsion Laboratory,6,8,SMALL,Planets and Planet Formation,Resolving the late planet formation stages around young M-stars,
15498,26,GO,Do,Tuan,Dr.,male,USA,University of California - Los Angeles,3,11,SMALL,Stellar Populations,Building an astrometric reference frame for tests of General Relativity with stellar orbits at the Galactic center with HST and GAIA,
15499,26,GO,Fruchter,Andrew,Dr.,male,USA,Space Telescope Science Institute,0,5,SMALL,Massive Black Holes And Their Host Galaxies,The Mystery of ASASSN-15lh,
15500,26,GO,Parker,Alex,Dr.,male,USA,Southwest Research Institute,12,11,SMALL,Solar System,The Moons of Kuiper Belt Dwarf Planets Makemake and 2007 OR10,
15501,26,GO,Schneider,Glenn,Dr.,male,USA,University of Arizona,10,5,SMALL,Extrasolar Planets and Planet Formation,An Extinction Probe Through the HD 107146 Debris Ring: Taking Unique Advantage of a Background Galaxy Transit,
15502,26,GO/DD,Simon,Amy,Dr.,female,USA,NASA Goddard Space Flight Center,29,3,,Solar System,Hubble 2020: Outer Planet Atmospheres Legacy (OPAL) Program,
15503,26,GO,Fransson,Claes,Prof.,male,SWE,Stockholm University,4,19,SMALL,Stellar Physics,Imaging the transition of SN 1987A to SNR 1987A,
15504,26,GO,Thomas,Cristina,Dr.,female,USA,Northern Arizona University,2,3,SMALL,None,UV Spectroscopy of Lucy Mission Targets,
15505,26,GO,Verbiscer,Anne,Dr.,female,USA,The University of Virginia,1,4,SMALL,None,"The Pluto System in the Post-New Horizons Era: Opposition Effects, Rotations, and Orbital Stability",
15506,26,GO,Meshkat,Tiffany,Dr.,female,USA,California Institute of Technology,1,5,SMALL,Extrasolar Planets and Planet Formation,Measuring the structure of Fomalhaut's dusty debris belt via a fortuitous stellar occultation,
